["2024-04-24T14:43:02.721", "DEBUG", "ubuntupro.config", "parse_config", 633, "Using client configuration file at /etc/ubuntu-advantage/uaclient.conf", {}]
["2024-04-24T14:43:02.722", "DEBUG", "ubuntupro.system", "load_file", 517, "Reading file: /etc/ubuntu-advantage/uaclient.conf", {}]
["2024-04-24T14:43:02.722", "DEBUG", "ubuntupro.files.files", "read", 60, "Tried to load /var/lib/ubuntu-advantage/user-config.json but file does not exist", {}]
["2024-04-24T14:43:02.734", "DEBUG", "ubuntupro.http", "configure_web_proxy", 146, "Setting no_proxy: 169.254.169.254,[fd00:ec2::254],metadata", {}]
["2024-04-24T14:43:02.734", "DEBUG", "ubuntupro.http", "configure_web_proxy", 154, "Setting global proxy dict", {}]
["2024-04-24T14:43:02.734", "DEBUG", "ubuntupro.cli", "main", 1821, "Executed with sys.argv: ['/usr/bin/pro', 'security-status', '--format=json']", {}]
["2024-04-24T14:43:02.734", "DEBUG", "ubuntupro.files.files", "read", 60, "Tried to load /var/lib/ubuntu-advantage/machine-token.json but file does not exist", {}]
["2024-04-24T14:43:03.128", "DEBUG", "ubuntupro.system", "load_file", 517, "Reading file: /etc/os-release", {}]
["2024-04-24T14:43:03.151", "DEBUG", "ubuntupro.livepatch", "status", 126, "canonical-livepatch is not installed", {}]
["2024-04-24T14:43:03.151", "DEBUG", "ubuntupro.livepatch", "status", 126, "canonical-livepatch is not installed", {}]
["2024-04-24T14:43:03.151", "DEBUG", "ubuntupro.system", "load_file", 517, "Reading file: /proc/version_signature", {}]
["2024-04-24T14:43:03.157", "WARNING", "ubuntupro.system", "_get_kernel_build_date", 131, "Unable to parse build date from uname version", {}]
["2024-04-24T14:43:03.166", "WARNING", "ubuntupro.system", "_get_kernel_changelog_timestamp", 104, "Falling back to using timestamp of kernel changelog", {}]
